Nested Sampling Global Log-Evidence           :   -0.127656344517669638E+02  +/-    0.168364276530938883E+00
Nested Importance Sampling Global Log-Evidence:   -0.132945356112012494E+02  +/-    0.167240699969902262E+00

Dim No.       Mean        Sigma
   1    0.300342679824327163E+00    0.738532518564596376E-02
   2    0.966167460172689119E-01    0.480157048237483605E-01
   3    0.700119460478083795E+02    0.363606118226865949E+00
   4    0.516755243088020911E-14    0.285681498974242889E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300608226122091315E+00
   2    0.968190652382627803E-01
   3    0.700075534531312655E+02
   4    0.721656484292117656E-15

MAP Parameters
Dim No.        Parameter
   1    0.300608226122091315E+00
   2    0.968190652382627803E-01
   3    0.700075534531312655E+02
   4    0.721656484292117656E-15
