Nested Sampling Global Log-Evidence           :   -0.213722225593111226E+02  +/-    0.126502995195508616E+00
Nested Importance Sampling Global Log-Evidence:   -0.219220797316387070E+02  +/-    0.536241907572367962E-01

Dim No.       Mean        Sigma
   1    0.284342425693136225E+00    0.114704109063410067E+00
   2   -0.104732683655453029E+01    0.311730725076597714E+00
   3   -0.260623680231348076E+00    0.132246887712190841E+01
   4    0.702978202649155008E+02    0.922431561939492828E+00
   5    0.486459313668672252E-14    0.282360530742494994E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.608177999109179510E-01
   2   -0.742200261393665350E+00
   3    0.578582432288387238E+00
   4    0.702240524120751388E+02
   5    0.932836199518557521E-14

MAP Parameters
Dim No.        Parameter
   1    0.608177999109179510E-01
   2   -0.742200261393665350E+00
   3    0.578582432288387238E+00
   4    0.702240524120751388E+02
   5    0.932836199518557521E-14
