Nested Sampling Global Log-Evidence           :   -0.775243319790854901E+01  +/-    0.125980359519004048E+00
Nested Importance Sampling Global Log-Evidence:   -0.823978484573698822E+01  +/-    0.769417420666522467E-01

Dim No.       Mean        Sigma
   1    0.334312098871289487E+00    0.121478655011504191E+00
   2   -0.103290779631877827E+01    0.327548067274537724E+00
   3   -0.444473758355458604E+00    0.141367497315216584E+01
   4    0.701084391313354161E+02    0.915326472763536847E+00
   5    0.523168192107864373E-14    0.280072456134165267E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.273556260305260202E-01
   2   -0.663173113309600826E+00
   3    0.707401467920784288E+00
   4    0.699787330655300508E+02
   5    0.256271426569319989E-14

MAP Parameters
Dim No.        Parameter
   1    0.273556260305260202E-01
   2   -0.663173113309600826E+00
   3    0.707401467920784288E+00
   4    0.699787330655300508E+02
   5    0.256271426569319989E-14
