Nested Sampling Global Log-Evidence           :   -0.751269652017155032E+01  +/-    0.123045857842883938E+00
Nested Importance Sampling Global Log-Evidence:   -0.766348622040690142E+01  +/-    0.137992954612276841E+00

Dim No.       Mean        Sigma
   1    0.308257710735342860E+00    0.434355207256999637E-01
   2    0.554826442468244335E-01    0.175508310730677963E+00
   3    0.700831365370511463E+02    0.900868329119064115E+00
   4    0.510253914610429920E-14    0.287029577118951753E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.297427391021830467E+00
   2    0.111654238500365599E+00
   3    0.699296702563356689E+02
   4    0.615752759712137174E-14

MAP Parameters
Dim No.        Parameter
   1    0.297427391021830467E+00
   2    0.111654238500365599E+00
   3    0.699296702563356689E+02
   4    0.615752759712137174E-14
