Nested Sampling Global Log-Evidence           :   -0.601720335670938145E+01  +/-    0.109748430332584190E+00
Nested Importance Sampling Global Log-Evidence:   -0.653649696497316057E+01  +/-    0.189688570229040697E-01

Dim No.       Mean        Sigma
   1    0.316573068099379296E+00    0.549866832122771210E-01
   2    0.388522981757274746E-01    0.156945238604534409E+00
   3    0.700603147384943838E+02    0.773876009382781782E+00
   4    0.497720832701688914E-14    0.288317736127888880E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.301482785613015447E+00
   2    0.941341586387499096E-01
   3    0.700591136318000736E+02
   4    0.712523895909601863E-15

MAP Parameters
Dim No.        Parameter
   1    0.301482785613015447E+00
   2    0.941341586387499096E-01
   3    0.700591136318000736E+02
   4    0.712523895909601863E-15
