Nested Sampling Global Log-Evidence           :   -0.762489258354419164E+01  +/-    0.125428905588729295E+00
Nested Importance Sampling Global Log-Evidence:   -0.793072516073222644E+01  +/-    0.585874475232901620E-01

Dim No.       Mean        Sigma
   1    0.299568530359099749E+00    0.114223905550351848E+00
   2   -0.108965654634182840E+01    0.356837581408970983E+00
   3    0.700463563733159305E+02    0.899707143044365831E+00
   4    0.510607900097548461E-14    0.286987574784495032E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.317398882156922912E+00
   2   -0.104453329200248568E+01
   3    0.700142181813005067E+02
   4    0.877204361885370759E-14

MAP Parameters
Dim No.        Parameter
   1    0.317398882156922912E+00
   2   -0.104453329200248568E+01
   3    0.700142181813005067E+02
   4    0.877204361885370759E-14
