Nested Sampling Global Log-Evidence           :   -0.754065261206122184E+01  +/-    0.926316740447297171E-01
Nested Importance Sampling Global Log-Evidence:   -0.781393659257665352E+01  +/-    0.660033454867497149E-01

Dim No.       Mean        Sigma
   1    0.337643005536403251E+00    0.103294622996458821E+00
   2   -0.103457114268626160E+01    0.306945617837435070E+00
   3   -0.388139734291307603E+00    0.141970051793337371E+01
   4    0.701342621050005590E+02    0.932909760725495585E+00
   5    0.500387759047115823E-14    0.289334167467349431E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.290056460683073891E+00
   2   -0.925452954251447579E+00
   3    0.157777705194081186E+00
   4    0.700364209484188081E+02
   5    0.220846777856057958E-15

MAP Parameters
Dim No.        Parameter
   1    0.290056460683073891E+00
   2   -0.925452954251447579E+00
   3    0.157777705194081186E+00
   4    0.700364209484188081E+02
   5    0.220846777856057958E-15
