Nested Sampling Global Log-Evidence           :   -0.542341540667118736E+02  +/-    0.136579526809956359E+00
Nested Importance Sampling Global Log-Evidence:   -0.546714130294137988E+02  +/-    0.231720324478182471E+00

Dim No.       Mean        Sigma
   1    0.297671080668960197E+00    0.626938381459585768E-02
   2    0.970739565646996649E-01    0.247850050573197381E-01
   3    0.294280262317149661E-01    0.172530966583232614E+01
   4    0.700978827476174189E+02    0.173592391111590583E+00
   5    0.489085941121205487E-14    0.288687699013346366E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.297133240910828156E+00
   2    0.984793701287185463E-01
   3    0.107490191691583714E+01
   4    0.701062378523272116E+02
   5    0.466930498365708131E-14

MAP Parameters
Dim No.        Parameter
   1    0.297133240910828156E+00
   2    0.984793701287185463E-01
   3    0.107490191691583714E+01
   4    0.701062378523272116E+02
   5    0.466930498365708131E-14
