Nested Sampling Global Log-Evidence           :   -0.160851606755794521E+02  +/-    0.141685760644733261E+00
Nested Importance Sampling Global Log-Evidence:   -0.168486752882881277E+02  +/-    0.690014943254838170E-01

Dim No.       Mean        Sigma
   1    0.300940158021881121E+00    0.980834566799059990E-02
   2   -0.896306197390079107E+00    0.604191242369439899E-01
   3   -0.153109216349115673E+00    0.248334754034301802E+00
   4    0.699970643364039091E+02    0.442260740375752415E+00
   5    0.492083625689853378E-14    0.288004954247184517E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300153699293980725E+00
   2   -0.888251855479105012E+00
   3   -0.147484475026688155E+00
   4    0.699214957838881048E+02
   5    0.153896201793470328E-14

MAP Parameters
Dim No.        Parameter
   1    0.300153699293980725E+00
   2   -0.888251855479105012E+00
   3   -0.147484475026688155E+00
   4    0.699214957838881048E+02
   5    0.153896201793470328E-14
