Nested Sampling Global Log-Evidence           :   -0.159304930179440749E+02  +/-    0.141160650827516942E+00
Nested Importance Sampling Global Log-Evidence:   -0.168721701764371126E+02  +/-    0.720197604102862377E-01

Dim No.       Mean        Sigma
   1    0.300676958877899636E+00    0.979717102812859876E-02
   2   -0.897976005139228262E+00    0.579520106946455060E-01
   3   -0.146031701996649166E+00    0.242122571671464837E+00
   4    0.700131258187805514E+02    0.424023808842042271E+00
   5    0.501626247144528975E-14    0.287148833939838149E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.299536196363158813E+00
   2   -0.892584080475290698E+00
   3   -0.123467602351210015E+00
   4    0.699342451312890034E+02
   5    0.313369340955154522E-14

MAP Parameters
Dim No.        Parameter
   1    0.299536196363158813E+00
   2   -0.892584080475290698E+00
   3   -0.123467602351210015E+00
   4    0.699342451312890034E+02
   5    0.313369340955154522E-14
