Nested Sampling Global Log-Evidence           :   -0.204989947692684353E+02  +/-    0.141451785652911860E+00
Nested Importance Sampling Global Log-Evidence:   -0.213885513157013420E+02  +/-    0.345211055563149072E-01

Dim No.       Mean        Sigma
   1    0.300875385277144691E+00    0.972845941477962217E-02
   2   -0.894605927829157488E+00    0.586826830440889055E-01
   3   -0.160617638707631183E+00    0.241830911057147852E+00
   4    0.699941175501454751E+02    0.431237531717110822E+00
   5    0.497171553972396285E-14    0.288632153169198481E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.299924926063931785E+00
   2   -0.911680089007062877E+00
   3   -0.817894103584704268E-01
   4    0.700837650449947347E+02
   5    0.656182399302979136E-14

MAP Parameters
Dim No.        Parameter
   1    0.299924926063931785E+00
   2   -0.911680089007062877E+00
   3   -0.817894103584704268E-01
   4    0.700837650449947347E+02
   5    0.656182399302979136E-14
