Nested Sampling Global Log-Evidence           :   -0.186501992295365113E+02  +/-    0.133280074108304725E+00
Nested Importance Sampling Global Log-Evidence:   -0.196031124298625627E+02  +/-    0.521609757664594845E-01

Dim No.       Mean        Sigma
   1    0.271897876008002581E+00    0.687646528231642268E-01
   2   -0.871119185697603271E+00    0.672484443314337738E-01
   3   -0.369766567101919574E-01    0.622479355834073877E+00
   4    0.700366925574448373E+02    0.543855699674948290E+00
   5    0.499031733000613960E-14    0.287265417032124219E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.298176358187160484E+00
   2   -0.893655418982482574E+00
   3   -0.123417200901402069E+00
   4    0.700067922433618435E+02
   5    0.457607292238015082E-14

MAP Parameters
Dim No.        Parameter
   1    0.298176358187160484E+00
   2   -0.893655418982482574E+00
   3   -0.123417200901402069E+00
   4    0.700067922433618435E+02
   5    0.457607292238015082E-14
