# z dmu
0.01 0.1458856521663457
0.012 0.16779607458400211
0.014 0.07849893144361902
0.016 0.07235392477654547
0.019 0.08546064347891373
0.023 0.05612508419138452
0.026 0.06106826959690278
0.031 0.05676394193517571
0.037 0.05679556297722561
0.043 0.07514307319187843
0.051 0.09290133971595889
0.06 0.06208918904769171
0.07 0.06587933786757423
0.082 0.05465045917620455
0.097 0.059933662766595536
0.114 0.037434095294397056
0.134 0.03861411340352126
0.158 0.03468858911890191
0.186 0.032140254516104874
0.218 0.03296163841422328
0.257 0.03171977425802397
0.302 0.03926215905843691
0.355 0.033575768493662214
0.418 0.041520654294098014
0.491 0.03937127633656293
0.578 0.03594528436693748
0.679 0.06277784454988877
0.799 0.05459143473540515
0.94 0.06682760806163872
1.105 0.15460363602418928
1.3 0.13845222576975785
