Nested Sampling Global Log-Evidence           :   -0.816971351572362003E+01  +/-    0.130460413853104640E+00
Nested Importance Sampling Global Log-Evidence:   -0.833173823679662107E+01  +/-    0.155532415915951461E+00

Dim No.       Mean        Sigma
   1    0.286583428224489567E+00    0.102714141532446207E+00
   2    0.673871036084153080E-01    0.262619318846859462E+00
   3    0.700335742896442923E+02    0.321570722625546701E+00
   4    0.487321576478014832E-14    0.288145276150247060E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.303214071089660975E+00
   2    0.102353579085861845E+00
   3    0.699718251207748949E+02
   4    0.381878946919482927E-15

MAP Parameters
Dim No.        Parameter
   1    0.303214071089660975E+00
   2    0.102353579085861845E+00
   3    0.699718251207748949E+02
   4    0.381878946919482927E-15
