Nested Sampling Global Log-Evidence           :   -0.106519740704610442E+02  +/-    0.151009924681629160E+00
Nested Importance Sampling Global Log-Evidence:   -0.112038111506140208E+02  +/-    0.186673995294848877E-01

Dim No.       Mean        Sigma
   1    0.300692673913113551E+00    0.101179391265049552E-01
   2    0.943270451651066349E-01    0.839763524457428495E-01
   3    0.700087428237622476E+02    0.256380956564523477E+00
   4    0.496295700251895616E-14    0.290909637469380141E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300482236317898055E+00
   2    0.882739567913264356E-01
   3    0.700356015723564980E+02
   4    0.127341979959750515E-14

MAP Parameters
Dim No.        Parameter
   1    0.300482236317898055E+00
   2    0.882739567913264356E-01
   3    0.700356015723564980E+02
   4    0.127341979959750515E-14
