Nested Sampling Global Log-Evidence           :   -0.823378223392787767E+01  +/-    0.130956195906374001E+00
Nested Importance Sampling Global Log-Evidence:   -0.849531986008457984E+01  +/-    0.529727468370015039E-01

Dim No.       Mean        Sigma
   1    0.292027154769079034E+00    0.104790263347830537E+00
   2    0.535693396720060624E-01    0.269755132440589129E+00
   3    0.700419135925538541E+02    0.339078230572192829E+00
   4    0.517225181246444017E-14    0.285434635690247395E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.304100032764111627E+00
   2    0.846741692745858199E-01
   3    0.700084527470996676E+02
   4    0.968726411443617311E-14

MAP Parameters
Dim No.        Parameter
   1    0.304100032764111627E+00
   2    0.846741692745858199E-01
   3    0.700084527470996676E+02
   4    0.968726411443617311E-14
