Nested Sampling Global Log-Evidence           :   -0.610335123236507826E+01  +/-    0.110249135186149191E+00
Nested Importance Sampling Global Log-Evidence:   -0.627455301267103582E+01  +/-    0.549922631236015522E-01

Dim No.       Mean        Sigma
   1    0.308399632570671600E+00    0.110020247227185022E+00
   2   -0.574278852350793567E-01    0.405207686653617172E+00
   3    0.702843746227581647E+02    0.154916699927510759E+01
   4    0.505297714666599381E-14    0.283428093117952633E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.308553859621435000E+00
   2    0.754905925557132207E-01
   3    0.700403559060536338E+02
   4    0.905901980265842286E-14

MAP Parameters
Dim No.        Parameter
   1    0.308553859621435000E+00
   2    0.754905925557132207E-01
   3    0.700403559060536338E+02
   4    0.905901980265842286E-14
