Nested Sampling Global Log-Evidence           :   -0.923116754234751014E+01  +/-    0.138993671073097513E+00
Nested Importance Sampling Global Log-Evidence:   -0.956930247538399747E+01  +/-    0.477677800893049134E-01

Dim No.       Mean        Sigma
   1    0.300331502206438561E+00    0.985727523793146314E-02
   2    0.837479167506300498E-01    0.120821325406349128E+00
   3    0.700899484098998897E+02    0.894373148831037468E+00
   4    0.500616601138752329E-14    0.286302061090130318E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300983668209630406E+00
   2    0.982333267367057061E-01
   3    0.699487143839112093E+02
   4    0.812818928887062904E-14

MAP Parameters
Dim No.        Parameter
   1    0.300983668209630406E+00
   2    0.982333267367057061E-01
   3    0.699487143839112093E+02
   4    0.812818928887062904E-14
