Nested Sampling Global Log-Evidence           :   -0.819598456245333473E+01  +/-    0.130792633804874547E+00
Nested Importance Sampling Global Log-Evidence:   -0.840388254689347036E+01  +/-    0.105828761656306294E+00

Dim No.       Mean        Sigma
   1    0.295265755838521049E+00    0.104097697458104890E+00
   2    0.428510281140531829E-01    0.274440643406262896E+00
   3    0.700407849270865341E+02    0.349289556453602490E+00
   4    0.518299985956174205E-14    0.278485542506710336E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.292821298267167018E+00
   2    0.114543402494940993E+00
   3    0.699886516910957823E+02
   4    0.894180783393448049E-14

MAP Parameters
Dim No.        Parameter
   1    0.292821298267167018E+00
   2    0.114543402494940993E+00
   3    0.699886516910957823E+02
   4    0.894180783393448049E-14
