Nested Sampling Global Log-Evidence           :   -0.108044332739885203E+02  +/-    0.152599382156128366E+00
Nested Importance Sampling Global Log-Evidence:   -0.112042700284058512E+02  +/-    0.190393355515842237E-01

Dim No.       Mean        Sigma
   1    0.300388518284972816E+00    0.994601532212564636E-02
   2    0.976352372515772310E-01    0.831174021593388268E-01
   3    0.700040770384347013E+02    0.261166028948746520E+00
   4    0.504756831966167768E-14    0.286317179266430041E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300695232577448790E+00
   2    0.103800476863145974E+00
   3    0.699810544669520596E+02
   4    0.270159297912459084E-14

MAP Parameters
Dim No.        Parameter
   1    0.300695232577448790E+00
   2    0.103800476863145974E+00
   3    0.699810544669520596E+02
   4    0.270159297912459084E-14
