Nested Sampling Global Log-Evidence           :   -0.860663448680948484E+01  +/-    0.133105989260248192E+00
Nested Importance Sampling Global Log-Evidence:   -0.908418381817183196E+01  +/-    0.208886549843048455E-01

Dim No.       Mean        Sigma
   1    0.301222103761657256E+00    0.985861543397930848E-02
   2    0.657021682695178716E-01    0.176525533712841548E+00
   3    0.702253694942038607E+02    0.140331601051352228E+01
   4    0.501420051177531176E-14    0.287843907323650466E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.301243610904860959E+00
   2    0.970277588786472300E-01
   3    0.699579626894615814E+02
   4    0.972670720467222864E-14

MAP Parameters
Dim No.        Parameter
   1    0.301243610904860959E+00
   2    0.970277588786472300E-01
   3    0.699579626894615814E+02
   4    0.972670720467222864E-14
