Nested Sampling Global Log-Evidence           :   -0.139661705892603880E+02  +/-    0.176957179871522791E+00
Nested Importance Sampling Global Log-Evidence:   -0.148418961491695161E+02  +/-    0.187420287052098428E-01

Dim No.       Mean        Sigma
   1    0.300035856458185646E+00    0.513627704553016717E-02
   2    0.100188679120212981E+00    0.224211683048013491E-01
   3    0.699960234080433850E+02    0.169509545597357369E+00
   4    0.497086886435994159E-14    0.285910879923055597E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.301149729031617297E+00
   2    0.987809145852780457E-01
   3    0.699764308224137324E+02
   4    0.727110929626048461E-14

MAP Parameters
Dim No.        Parameter
   1    0.301149729031617297E+00
   2    0.987809145852780457E-01
   3    0.699764308224137324E+02
   4    0.727110929626048461E-14
