Nested Sampling Global Log-Evidence           :   -0.128673909996031828E+02  +/-    0.168908298480325347E+00
Nested Importance Sampling Global Log-Evidence:   -0.135414680490125470E+02  +/-    0.230032160615998432E-01

Dim No.       Mean        Sigma
   1    0.300726469961210774E+00    0.733977135242121128E-02
   2    0.929787143798944948E-01    0.468900107441672029E-01
   3    0.700359243528516799E+02    0.361782885550652966E+00
   4    0.480558208788842436E-14    0.289021980890394314E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300039692872716646E+00
   2    0.997016365616312239E-01
   3    0.699957220417483086E+02
   4    0.295770431630386355E-14

MAP Parameters
Dim No.        Parameter
   1    0.300039692872716646E+00
   2    0.997016365616312239E-01
   3    0.699957220417483086E+02
   4    0.295770431630386355E-14
