Nested Sampling Global Log-Evidence           :   -0.217416729744310437E+02  +/-    0.133382408192121632E+00
Nested Importance Sampling Global Log-Evidence:   -0.220227383713491207E+02  +/-    0.291233502852292978E-01

Dim No.       Mean        Sigma
   1    0.251832221717448901E+00    0.110245086193025879E+00
   2   -0.990402828739707197E+00    0.284866722233974523E+00
   3    0.753606081348938233E+02    0.140785395440502388E+02
   4    0.114505488517733539E+00    0.416893097523344580E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.243771179712004904E+00
   2   -0.902604005774741980E+00
   3    0.908779588315129558E+02
   4    0.563320274951545130E+00

MAP Parameters
Dim No.        Parameter
   1    0.243771179712004904E+00
   2   -0.902604005774741980E+00
   3    0.908779588315129558E+02
   4    0.563320274951545130E+00
