Nested Sampling Global Log-Evidence           :   -0.323992075747443877E+02  +/-    0.136845821171489967E+00
Nested Importance Sampling Global Log-Evidence:   -0.322563752062265507E+02  +/-    0.289598426540072895E+00

Dim No.       Mean        Sigma
   1    0.255198333039905134E+00    0.114311797632748277E+00
   2   -0.947985481748963354E+00    0.275905738510523080E+00
   3    0.759026381576406806E+02    0.144789564385434346E+02
   4    0.141656668342387271E+00    0.426163573051241029E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.230412753970220735E+00
   2   -0.831276707285135030E+00
   3    0.825943395692269746E+02
   4    0.370478420951482423E+00

MAP Parameters
Dim No.        Parameter
   1    0.230412753970220735E+00
   2   -0.831276707285135030E+00
   3    0.825943395692269746E+02
   4    0.370478420951482423E+00
