Nested Sampling Global Log-Evidence           :   -0.778298910695802526E+01  +/-    0.126501671104805202E+00
Nested Importance Sampling Global Log-Evidence:   -0.826370532977591132E+01  +/-    0.592802145490153448E-01

Dim No.       Mean        Sigma
   1    0.324569917812641884E+00    0.113836924919414717E+00
   2   -0.109425124892629277E+01    0.310924754021963456E+00
   3   -0.470935342555773628E+00    0.144359497121440405E+01
   4    0.700469011592907975E+02    0.901653049705909093E+00
   5    0.512029884991841542E-14    0.280965112687929506E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.341516276810896746E+00
   2   -0.102190018476338307E+01
   3   -0.625512039029374911E+00
   4    0.699076733250274742E+02
   5    0.857671663491257378E-14

MAP Parameters
Dim No.        Parameter
   1    0.341516276810896746E+00
   2   -0.102190018476338307E+01
   3   -0.625512039029374911E+00
   4    0.699076733250274742E+02
   5    0.857671663491257378E-14
