Nested Sampling Global Log-Evidence           :   -0.747809474930197915E+01  +/-    0.122475191012379386E+00
Nested Importance Sampling Global Log-Evidence:   -0.800398887491473232E+01  +/-    0.386658652770973180E-01

Dim No.       Mean        Sigma
   1    0.310904053943146519E+00    0.756229894318711238E-01
   2    0.243755394903770115E-01    0.264046222209210979E+00
   3    0.700387276239446663E+02    0.920359843238959585E+00
   4    0.490670551479209140E-14    0.282839297536101436E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.295420184301048938E+00
   2    0.119888203917370095E+00
   3    0.699435547121972547E+02
   4    0.694827699117992837E-14

MAP Parameters
Dim No.        Parameter
   1    0.295420184301048938E+00
   2    0.119888203917370095E+00
   3    0.699435547121972547E+02
   4    0.694827699117992837E-14
