Nested Sampling Global Log-Evidence           :   -0.213955153494737900E+02  +/-    0.127543055220740081E+00
Nested Importance Sampling Global Log-Evidence:   -0.220205588461043007E+02  +/-    0.296498460234503360E-01

Dim No.       Mean        Sigma
   1    0.291611205422048936E+00    0.110488636900767406E+00
   2   -0.103821851664081977E+01    0.289895803975110777E+00
   3   -0.425009808895416286E+00    0.132876824425020601E+01
   4    0.702636637153378842E+02    0.924566081890724201E+00
   5    0.465177555145774557E-14    0.277711535082625853E-14

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.125986341860129109E+00
   2   -0.806226773901269622E+00
   3    0.589714715697787994E+00
   4    0.701926103002886919E+02
   5    0.420146940440006036E-14

MAP Parameters
Dim No.        Parameter
   1    0.125986341860129109E+00
   2   -0.806226773901269622E+00
   3    0.589714715697787994E+00
   4    0.701926103002886919E+02
   5    0.420146940440006036E-14
