Nested Sampling Global Log-Evidence           :   -0.522485983531581937E+02  +/-    0.166036087194461696E+00
Nested Importance Sampling Global Log-Evidence:   -0.529773274024853862E+02  +/-    0.106273778446888234E+00

Dim No.       Mean        Sigma
   1    0.297662229695647707E+00    0.623191467525078136E-02
   2    0.962437644688407118E-01    0.252067056265347783E-01
   3    0.701063428993938089E+02    0.182415835020737466E+00
   4    0.492635747373897033E-13    0.282831005471226227E-13

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.297746436011760263E+00
   2    0.947056984026327653E-01
   3    0.701178910843913030E+02
   4    0.223323526866171802E-13

MAP Parameters
Dim No.        Parameter
   1    0.297746436011760263E+00
   2    0.947056984026327653E-01
   3    0.701178910843913030E+02
   4    0.223323526866171802E-13
